iter,date_utc,n,mix_ask,mix_answer,mix_refuse,suite_version,suite_changes,constraint_level,generation_required,format_strictness,refusal_slice_enabled,token_constraint_enabled,stabilised,stabilisation_runs,quality_gate_pass,caveats
10,2026-01,300,0.57,0.36,0.07,v1,Answer format tightened,1,yes,med,no,no,yes,2,yes,none
11,2026-02-03,300,0.60,0.30,0.10,v2,Refusal slice added; parseable underspec introduced,2,yes,high,yes,yes,yes,3,yes,none
